onset	duration	trial_index	typeOfSaccade	cueShownAtLeft	intraEnd	isTutorial	isSaccadeExperiment
0.0	235.737	0					
36.796	36.792	1					
47.906	11.107	2					
172.936	125.026	3					
178.536	5.596	4					
180.057		5					
180.059		6					
199.581		7					
210.395		8					
230.381	19.983	9					
243.71	13.326	10					
252.265	8.551	11					
261.955	9.686	12					
272.034	10.077	13					
274.297	2.261	14					
276.299		15					
278.66	2.36	16					
280.122	0.86	17					
281.374	0.696	18					
282.543	0.611	19					
283.526	0.41	20					
284.591	0.493	21					
285.684	0.521	22					
286.743	0.495	23					
287.776	0.477	24					
289.1	0.768	25					
290.144	0.479	26					
291.161	0.462	27					
293.941	2.723	28					
295.137	0.395	29					
296.271	0.338	30					
297.398	0.332	31					
298.555	0.372	32					
299.754	0.402	33					
300.865	0.352	34					
302.873		35					
310.979	8.101	36					
312.167	0.59	37					
313.416	0.695	38					
314.552	0.563	39					
315.734	0.628	40					
316.923	0.629	41					
318.066	0.561	42					
319.284	0.662	43					
320.44	0.6	44					
321.66	0.667	45					
322.86	0.633	46					
324.052	0.611	47					
327.449	3.349	48					
328.613	0.371	49					
329.778	0.389	50					
330.905	0.326	51					
332.147	0.462	52					
333.417	0.501	53					
334.732	0.529	54					
337.76		55					
340.832		56	prosaccade	True	2231.0	True	True
344.289		57	prosaccade	False	2610.0	True	True
347.607		58	prosaccade	False	2489.0	True	True
350.774		59	prosaccade	False	2341.0	True	True
354.073		60	prosaccade	False	2483.0	True	True
357.361		61	prosaccade	False	2454.0	True	True
360.698	2.884	62	prosaccade	False	2491.0	True	True
364.024		63	prosaccade	True	2488.0	True	True
366.914		64	prosaccade	True	2057.0	True	True
370.355		65	prosaccade	True	2595.0	True	True
373.386		66					
376.578		67	antisaccade	True	2351.0	True	True
379.454		68	antisaccade	True	2036.0	True	True
382.751		69	antisaccade	False	2474.0	True	True
385.78		70	antisaccade	False	2180.0	True	True
388.799		71	antisaccade	False	2180.0	True	True
392.254		72	antisaccade	False	2624.0	True	True
395.498		73	antisaccade	True	2406.0	True	True
398.424		74	antisaccade	True	2102.0	True	True
401.314		75	antisaccade	False	2042.0	True	True
404.552		76	antisaccade	True	2405.0	True	True
407.442	2.884	77					
409.296	1.849	78					
412.315		79					
415.294		80	prosaccade	False	2133.0	False	True
418.471		81	prosaccade	False	2329.0	False	True
421.338		82	prosaccade	True	2038.0	False	True
424.431		83	prosaccade	False	2255.0	False	True
427.734		84	prosaccade	False	2475.0	False	True
431.083		85	prosaccade	True	2498.0	False	True
434.098		86	prosaccade	True	2179.0	False	True
437.495		87	prosaccade	False	2561.0	False	True
440.863		88	prosaccade	True	2530.0	False	True
443.882		89	prosaccade	False	2179.0	False	True
447.252		90	prosaccade	True	2544.0	False	True
450.525		91	prosaccade	False	2433.0	False	True
453.976		92	prosaccade	True	2601.0	False	True
456.977		93	prosaccade	False	2167.0	False	True
460.166		94	prosaccade	False	2341.0	False	True
463.25		95	prosaccade	True	2236.0	False	True
466.689		96	prosaccade	False	2609.0	False	True
470.021		97	prosaccade	True	2481.0	False	True
473.221		98	prosaccade	True	2371.0	False	True
476.566		99	prosaccade	False	2516.0	False	True
479.592		100					
482.711		101	antisaccade	True	2282.0	False	True
486.077		102	antisaccade	False	2539.0	False	True
489.314		103	antisaccade	True	2401.0	False	True
492.378		104	antisaccade	False	2247.0	False	True
495.414		105	antisaccade	False	2185.0	False	True
498.333		106	antisaccade	False	2081.0	False	True
501.647		107	antisaccade	False	2466.0	False	True
505.12		108	antisaccade	False	2621.0	False	True
508.338		109	antisaccade	True	2394.0	False	True
511.601		110	antisaccade	False	2425.0	False	True
514.652		111	antisaccade	False	2222.0	False	True
518.055		112	antisaccade	False	2591.0	False	True
521.382		113	antisaccade	False	2485.0	False	True
524.251		114	antisaccade	True	2032.0	False	True
527.38		115	antisaccade	False	2274.0	False	True
530.34		116	antisaccade	False	2127.0	False	True
533.513		117	antisaccade	True	2338.0	False	True
536.718		118	antisaccade	False	2377.0	False	True
539.71		119	antisaccade	True	2148.0	False	True
542.696		120	antisaccade	True	2141.0	False	True
545.722		121					
548.81		122	prosaccade	True	2257.0	False	True
551.743		123	prosaccade	False	2074.0	False	True
554.981		124	prosaccade	True	2400.0	False	True
558.421		125	prosaccade	True	2620.0	False	True
561.691		126	prosaccade	True	2414.0	False	True
565.059		127	prosaccade	False	2521.0	False	True
568.096		128	prosaccade	False	2191.0	False	True
571.567		129	prosaccade	True	2624.0	False	True
574.878		130	prosaccade	False	2455.0	False	True
578.128		131	prosaccade	False	2390.0	False	True
581.235		132	prosaccade	False	2259.0	False	True
584.192		133	prosaccade	True	2106.0	False	True
587.058		134	prosaccade	False	2034.0	False	True
590.407		135	prosaccade	False	2505.0	False	True
593.601		136	prosaccade	False	2338.0	False	True
596.701		137	prosaccade	False	2271.0	False	True
599.698		138	prosaccade	False	2155.0	False	True
603.092		139	prosaccade	True	2534.0	False	True
606.496		140	prosaccade	True	2581.0	False	True
609.846		141	prosaccade	True	2521.0	False	True
612.865		142					
616.314		143	antisaccade	True	2604.0	False	True
619.397		144	antisaccade	True	2230.0	False	True
622.766		145	antisaccade	True	2543.0	False	True
626.194		146	antisaccade	False	2581.0	False	True
629.088		147	antisaccade	False	2043.0	False	True
632.431		148	antisaccade	True	2499.0	False	True
635.45		149	antisaccade	True	2159.0	False	True
638.611		150	antisaccade	False	2316.0	False	True
641.54		151	antisaccade	True	2098.0	False	True
644.535		152	antisaccade	False	2155.0	False	True
647.983		153	antisaccade	False	2603.0	False	True
651.224		154	antisaccade	True	2403.0	False	True
654.205		155	antisaccade	True	2136.0	False	True
657.18		156	antisaccade	False	2131.0	False	True
660.145		157	antisaccade	False	2139.0	False	True
663.548		158	antisaccade	False	2569.0	False	True
666.766		159	antisaccade	True	2359.0	False	True
669.7		160	antisaccade	True	2093.0	False	True
672.723		161	antisaccade	False	2180.0	False	True
676.038		162	antisaccade	False	2488.0	False	True
698.78	22.725	163					
700.795		164					
703.251	2.444	165					
706.655	2.795	166					
707.584	0.364	167					
708.497	0.342	168					
709.498	0.429	169					
710.385	0.299	170					
711.218	0.26	171					
712.044	0.239	172					
712.901	0.262	173					
713.731	0.26	174					
714.588	0.264	175					
715.427	0.272	176					
717.699	2.213	177					
718.751	0.244	178					
719.706	0.161	179					
720.845	0.329	180					
721.975	0.332	181					
723.096	0.321	182					
724.271	0.366	183					
727.295		184					
730.235		185	prosaccade	True	2098.0	False	True
733.242		186	prosaccade	False	2150.0	False	True
736.541		187	prosaccade	False	2458.0	False	True
739.722		188	prosaccade	True	2329.0	False	True
742.822		189	prosaccade	False	2254.0	False	True
746.125		190	prosaccade	False	2460.0	False	True
749.487		191	prosaccade	False	2516.0	False	True
752.845		192	prosaccade	False	2503.0	False	True
756.195		193	prosaccade	True	2527.0	False	True
759.539		194	prosaccade	True	2521.0	False	True
762.498		195	prosaccade	False	2111.0	False	True
765.549		196	prosaccade	False	2192.0	False	True
768.796		197	prosaccade	True	2401.0	False	True
771.81		198	prosaccade	False	2162.0	False	True
774.827		199	prosaccade	False	2173.0	False	True
778.162		200	prosaccade	False	2493.0	False	True
781.276		201	prosaccade	True	2260.0	False	True
784.387		202	prosaccade	False	2279.0	False	True
787.348		203	prosaccade	False	2118.0	False	True
790.603		204	prosaccade	False	2421.0	False	True
793.629		205					
796.973		206	antisaccade	False	2490.0	False	True
800.342		207	antisaccade	True	2508.0	False	True
803.474		208	antisaccade	True	2288.0	False	True
806.565		209	antisaccade	False	2249.0	False	True
809.573		210	antisaccade	False	2144.0	False	True
812.795		211	antisaccade	False	2360.0	False	True
816.109		212	antisaccade	True	2462.0	False	True
819.151		213	antisaccade	True	2194.0	False	True
822.25		214	antisaccade	True	2249.0	False	True
825.346		215	antisaccade	True	2230.0	False	True
828.747		216	antisaccade	True	2575.0	False	True
832.232		217	antisaccade	False	2619.0	False	True
835.165		218	antisaccade	True	2073.0	False	True
838.367		219	antisaccade	True	2347.0	False	True
841.435		220	antisaccade	True	2206.0	False	True
844.535		221	antisaccade	False	2249.0	False	True
847.751		222	antisaccade	True	2363.0	False	True
850.62		223	antisaccade	False	2026.0	False	True
853.997		224	antisaccade	False	2522.0	False	True
857.244		225	antisaccade	False	2409.0	False	True
860.279		226					
863.696		227	prosaccade	False	2576.0	False	True
866.606		228	prosaccade	True	2060.0	False	True
