abs,block,round,trials,first_sample,max_var,presented_point,time_between_samples_mean,time_between_samples_std,sampling_rate_mean,sampling_rate_std,sampling_rate_min,sampling_rate_max,last_time_sample,horizontal_errors_pxs,vertical_errors_pxs,total_errors_pxs,horizontal_errors_pxs_mean,horizontal_errors_pxs_std,vertical_errors_pxs_mean,vertical_errors_pxs_std,total_errors_pxs_mean,total_errors_pxs_std,webgazer_x,webgazer_y,webgazer_t,metadata,px2degree,presented_point_x,presented_point_y,target_id
1,1.0,1,1.0,500,75,"(1359.0, 137.0)",52.64705882352941,11.935814501745124,20.047233451972467,4.924341831529519,13.333333333333334,33.333333333333336,895,[ 22.  21.  50.  96. 107. 107.  96.],[68. 72. 73. 53. 50. 55. 43.],"[ 71.47027354  75.          88.48163651 109.658561   118.1058847
 120.30793823 105.19030374]",71.28571428571429,36.22041368271404,59.142857142857146,10.92086563063794,98.31637110123276,18.563551901480746,"[ 868  934  973  972  981  917  866 1155 1335 1429 1422 1381 1338 1309
 1263 1252 1252 1263]",[547 528 547 535 560 566 539 440 345 237 209 205 209 210 190 187 192 180],[  0  63  97 127 176 248 298 347 398 447 500 550 602 650 725 774 821 895],"{""name-id"":""Gustavo"",""webcam-id"":""4"",""computer-id"":""3"",""web-browser"":""Chrome/Local"",""operating-system"":""Ubuntu""}",39.95,1359.0,137.0,1
2,1.0,1,1.0,500,75,"(561.0, 137.0)",50.44444444444444,12.811549573300484,21.476085664847066,7.010507401971133,13.698630136986301,40.0,908,[188. 112.  67.  62.  54.  41.  59.  67.],[125. 110.  56.  20.  33.   5.  47.  71.],"[225.76315023 156.98407563  87.32124598  65.1459899   63.28506933
  41.30375286  75.43208866  97.62171889]",81.25,44.68710664162539,58.375,39.31264904582239,101.60713643461175,56.81210104861634,"[1282 1299 1294 1285 1318 1183  912  725  482  366  345  373  449  494
  499  507  520  502  494]","[204 223 261 274 270 476 651 653 604 267 100  12  27  81 117 104 132  90
  66]","[  0  49  98 124 175 211 268 293 342 415 488 538 588 636 685 756 806 856
 908]","{""name-id"":""Gustavo"",""webcam-id"":""4"",""computer-id"":""3"",""web-browser"":""Chrome/Local"",""operating-system"":""Ubuntu""}",39.95,561.0,137.0,2
3,1.0,1,1.0,500,75,"(960.0, 137.0)",55.6875,14.864886267644296,19.91949779788403,7.798106885058379,13.698630136986301,40.0,891,nan,nan,nan,,,,,,,"[ 480  502  491  544  614  900 1071 1057 1003  931  979  855  730  662
  768  837  789]",[ 64  78  69  90 203 368 319 175 112 104  90 111 140 166 144 131 135],[  0  63  89 140 213 262 312 383 429 481 551 622 675 700 750 820 891],"{""name-id"":""Gustavo"",""webcam-id"":""4"",""computer-id"":""3"",""web-browser"":""Chrome/Local"",""operating-system"":""Ubuntu""}",39.95,960.0,137.0,3
4,1.0,1,1.0,500,75,"(1359.0, 536.0)",53.35294117647059,14.543812820216058,20.570492122340507,7.34046400960752,12.195121951219512,40.0,907,[ 70. 127. 148. 113. 107. 141. 133. 103.],[147. 136. 142. 120. 110. 109.  92.  97.],"[162.81584689 186.07794066 205.10485123 164.83021568 153.45683432
 178.21896644 161.71889191 141.48498154]",117.75,23.47738273317535,119.125,19.354828209002527,169.2135660841253,18.665316849530335,"[ 780  777  812  836  913 1203 1455 1495 1489 1488 1429 1486 1507 1472
 1466 1500 1492 1462]",[143 141 157 148 208 414 523 454 406 369 389 400 394 416 426 427 444 439],[  0  82 130 155 207 280 352 403 429 479 552 602 652 703 754 804 857 907],"{""name-id"":""Gustavo"",""webcam-id"":""4"",""computer-id"":""3"",""web-browser"":""Chrome/Local"",""operating-system"":""Ubuntu""}",39.95,1359.0,536.0,4
5,1.0,1,1.0,500,75,"(1359.0, 935.0)",54.294117647058826,12.365819617384389,19.566875826423978,5.525415679727899,13.333333333333334,38.46153846153846,923,[61. 49. 51. 43. 13. 12. 43. 75.],[290. 271. 262. 230. 219. 212. 203. 190.],"[296.34608147 275.39426283 266.91759028 233.98504226 219.38550545
 212.33935104 207.50421682 204.26698216]",43.375,20.334315208533578,234.625,33.36891330265342,239.5173790375643,32.99507749613201,"[1435 1459 1519 1579 1569 1497 1399 1446 1465 1467 1420 1408 1410 1402
 1372 1347 1316 1284]",[442 478 490 487 469 522 564 606 626 636 645 664 673 705 716 723 732 745],[  0  61 107 179 230 278 353 405 431 481 556 604 654 725 775 827 875 923],"{""name-id"":""Gustavo"",""webcam-id"":""4"",""computer-id"":""3"",""web-browser"":""Chrome/Local"",""operating-system"":""Ubuntu""}",39.95,1359.0,935.0,5
6,1.0,1,1.0,500,75,"(960.0, 935.0)",53.1764705882353,14.386412274486224,20.676492789125522,7.418843079322829,13.698630136986301,41.666666666666664,904,[135. 160. 133. 139. 175. 143. 127.  88.  81.],[169. 114. 128. 158. 141. 126.  91. 109. 137.],"[216.3007166  196.45864705 184.58873205 210.44001521 224.73539997
 190.59118553 156.23699946 140.08925726 159.15401346]",131.22222222222223,28.615371851032087,130.33333333333334,22.88133640230735,186.51055184180308,27.60902924969517,"[1277 1282 1297 1248 1200 1172 1155 1148 1130 1095 1120 1093 1099 1135
 1103 1087 1048 1041]",[747 773 774 727 737 749 756 747 775 766 821 807 777 794 809 844 826 798],[  0  58 104 177 247 317 371 399 448 520 571 620 672 719 758 830 880 904],"{""name-id"":""Gustavo"",""webcam-id"":""4"",""computer-id"":""3"",""web-browser"":""Chrome/Local"",""operating-system"":""Ubuntu""}",39.95,960.0,935.0,6
7,1.0,1,1.0,500,75,"(561.0, 935.0)",55.5,11.963486114005399,19.146842815761012,5.662081173217082,13.88888888888889,38.46153846153846,888,[31. 22. 34. 16. 23. 23. 27.],[71. 70. 84. 76. 48. 64. 87.],"[77.47257579 73.37574531 90.62008607 77.66595136 53.22593353 68.00735254
 91.0933587 ]",25.142857142857142,5.591538797365979,71.42857142857143,12.116778719222872,75.92300047290327,12.164855670218381,"[1051 1020 1051 1048 1036 1080 1043  653  492  499  530  583  595  545
  584  584  588]",[794 798 809 844 709 598 601 735 798 850 864 865 851 859 887 871 848],[  0  61  87 139 211 258 311 381 450 499 549 619 689 739 787 839 888],"{""name-id"":""Gustavo"",""webcam-id"":""4"",""computer-id"":""3"",""web-browser"":""Chrome/Local"",""operating-system"":""Ubuntu""}",39.95,561.0,935.0,7
8,1.0,1,1.0,500,75,"(561.0, 536.0)",57.9375,12.720400691409056,18.454151946244206,5.8521889447249205,13.88888888888889,38.46153846153846,927,[103.  23.  37.  11.  26.  70.  15.],[10. 43. 61. 15. 28. 45. 28.],"[103.48429833  48.76474136  71.34423593  18.60107524  38.20994635
  83.21658489  31.76476035]",40.714285714285715,31.225970353053814,32.857142857142854,16.608333290666994,56.48366320494328,28.244267526232562,[578 557 567 781 882 795 602 483 458 460 458 538 524 572 535 491 546],[836 832 821 643 556 564 574 576 564 560 546 579 597 551 564 581 564],[  0  55 104 175 245 294 344 416 471 497 548 618 688 737 786 856 927],"{""name-id"":""Gustavo"",""webcam-id"":""4"",""computer-id"":""3"",""web-browser"":""Chrome/Local"",""operating-system"":""Ubuntu""}",39.95,561.0,536.0,8
9,1.0,1,1.0,500,75,"(960.0, 536.0)",55.75,13.988834833537782,19.341586284586196,6.1830743922036255,12.820512820512821,40.0,892,[143. 119. 125. 102. 139. 156. 171.],[16. 18.  1. 39.  5. 33. 42.],"[143.89232085 120.35364556 125.00399994 109.20164834 139.08989899
 159.45218719 176.08236709]",136.42857142857142,21.539711782506966,22.0,15.08073510902474,139.01086685079133,21.543485199345533,"[ 557  584  578  664  999 1175 1218 1234 1200 1141 1103 1079 1085 1062
 1099 1116 1131]",[569 547 570 577 552 568 567 524 507 493 520 518 535 497 541 503 578],[  0  78 126 176 253 304 329 381 452 500 549 623 671 720 771 820 892],"{""name-id"":""Gustavo"",""webcam-id"":""4"",""computer-id"":""3"",""web-browser"":""Chrome/Local"",""operating-system"":""Ubuntu""}",39.95,960.0,536.0,9
10,2.0,1,2.0,500,75,"(1359.0, 935.0)",57.8125,12.481079430481964,18.01947671079549,3.360671424961091,12.195121951219512,21.27659574468085,925,[ 1. 24. 43. 33. 57. 19.  6. 17.],[105. 122. 123. 121. 114. 118. 115. 137.],"[105.0047618  124.33824834 130.29965464 125.41929676 127.45587472
 119.51987282 115.15641537 138.05071532]",25.0,17.5,119.375,8.586872247797798,123.15560497078607,9.38466644477534,"[1016 1015 1021  958  950 1049 1249 1368 1397 1358 1335 1316 1326 1302
 1340 1353 1342]",[547 534 565 634 599 595 697 802 840 830 813 812 814 821 817 820 798],[  0  59 107 177 251 299 348 398 445 527 578 656 704 752 826 876 925],"{""name-id"":""Gustavo"",""webcam-id"":""4"",""computer-id"":""3"",""web-browser"":""Chrome/Local"",""operating-system"":""Ubuntu""}",39.95,1359.0,935.0,5
