"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","load_time","success","jspsych_start_time","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response_type","key_press","avg_frame_time","center_x","center_y","rastoc-type","stimulus-coordinate","calibration-id","calibration-point-id","inner-width","inner-height","webgazer_data","webgazer_targets","session-id","validation-id","tracked-trial-id","trial-tag","start-x","start-y","events"
"29770","{""name-id"":""Gustavo"",""webcam-id"":""9"",""computer-id"":""3"",""web-browser"":""Chrome"",""operating-system"":""Ubuntu""}","survey-html-form","0","29772","0.0-0.0","68","1","2023-02-01 14:45:39","242e4f7e01fe674438c476c7cfca5918","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","webgazer-init-camera","1","43695","0.0-1.0","68","1","2023-02-01 14:45:39","242e4f7e01fe674438c476c7cfca5918","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","fullscreen","2","45691","0.0-2.0","68","1","2023-02-01 14:45:39","242e4f7e01fe674438c476c7cfca5918","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","events-tracking-start","3","45693","0.0-3.0","68","1","2023-02-01 14:45:39","242e4f7e01fe674438c476c7cfca5918","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","2023-02-01T14:45:40.877Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50933","","virtual-chinrest","4","96629","0.0-4.0","68","1","2023-02-01 14:45:39","242e4f7e01fe674438c476c7cfca5918","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","85.6","53.98","348","4.07","532.79","9.18562554467919","37.88528046427718","50.67931334995416","28.507113759349213","","","","","","","","","","","","","","","","","","","","",""
"1007","0","html-button-response","5","97639","0.0-5.0-0.0-0.0","68","1","2023-02-01 14:45:39","242e4f7e01fe674438c476c7cfca5918","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","","","","","","","","","","
        <h3>Calibration Session</h3>

        Sit comfortably, from now on try to keep your head as still as
        possible.
        <br>
        <br>
        
        Next you will see a <b>series of markers</b> in the screen.
        <br>

        As they appear <b>fix your gaze</b> on them.
        <br>

        Once they turn orange, press the <b>space bar</b>.
        <br>
      ","","","","","","","","","","","","","","","","","","","",""
"3164"," ","psychophysics","6","101428","0.0-5.0-0.0-1.0-0.0","68","1","2023-02-01 14:45:39","242e4f7e01fe674438c476c7cfca5918","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","","","","","","","","","","","key"," ","17.941800000000026","960","536","calibration-stimulus","{""x"":379,""y"":379}","0","0","1920","1080","","","","","","","","",""
"918"," ","psychophysics","7","102917","0.0-5.0-0.0-1.1-0.1","68","1","2023-02-01 14:45:39","242e4f7e01fe674438c476c7cfca5918","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","","","","","","","","","","","key"," ","19.303776315789467","960","536","calibration-stimulus","{""x"":-379,""y"":0}","0","1","1920","1080","","","","","","","","",""
"1020"," ","psychophysics","8","104491","0.0-5.0-0.0-1.2-0.2","68","1","2023-02-01 14:45:39","242e4f7e01fe674438c476c7cfca5918","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","","","","","","","","","","","key"," ","17.808181818181765","960","536","calibration-stimulus","{""x"":0,""y"":0}","0","2","1920","1080","","","","","","","","",""
"1134"," ","psychophysics","9","106200","0.0-5.0-0.0-1.3-0.3","68","1","2023-02-01 14:45:39","242e4f7e01fe674438c476c7cfca5918","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","","","","","","","","","","","key"," ","18.919494382022545","960","536","calibration-stimulus","{""x"":0,""y"":379}","0","3","1920","1080","","","","","","","","",""
