onset	duration	trial_index	trial-tag	center_x	center_y	start-x	start-y
0.0	29.77	0					
13.923		1					
15.919		2					
15.921		3					
66.857	50.933	4					
67.867	1.007	5					
71.656	3.164	6		960.0	536.0		
73.145	0.918	7		960.0	536.0		
74.719	1.02	8		960.0	536.0		
76.428	1.134	9		960.0	536.0		
78.063	1.051	10		960.0	536.0		
79.655	1.013	11		960.0	536.0		
81.022	0.788	12		960.0	536.0		
82.46	0.859	13		960.0	536.0		
83.961	0.923	14		960.0	536.0		
86.375	1.844	15		960.0	536.0		
87.81	0.858	16		960.0	536.0		
89.144	0.759	17		960.0	536.0		
90.808	1.085	18		960.0	536.0		
92.284	0.899	19		960.0	536.0		
93.949	1.097	20		960.0	536.0		
95.61	1.089	21		960.0	536.0		
97.111	0.925	22		960.0	536.0		
98.679	0.995	23		960.0	536.0		
99.84	1.097	24					
101.877		25	fixation-stimulus	960.0	536.0	0.0	0.0
102.789		26	validation-stimulus	960.0	536.0	0.0	0.0
103.721		27	validation-stimulus	960.0	536.0	379.0	-379.0
104.665		28	validation-stimulus	960.0	536.0	379.0	0.0
105.61		29	validation-stimulus	960.0	536.0	-379.0	379.0
106.534		30	validation-stimulus	960.0	536.0	379.0	379.0
107.491		31	validation-stimulus	960.0	536.0	0.0	-379.0
108.424		32	validation-stimulus	960.0	536.0	0.0	379.0
109.355		33	validation-stimulus	960.0	536.0	-379.0	-379.0
110.301		34	validation-stimulus	960.0	536.0	-379.0	0.0
112.334		35	fixation-stimulus	960.0	536.0	0.0	0.0
113.278		36	validation-stimulus	960.0	536.0	-379.0	0.0
114.224		37	validation-stimulus	960.0	536.0	-379.0	379.0
115.178		38	validation-stimulus	960.0	536.0	0.0	-379.0
116.123		39	validation-stimulus	960.0	536.0	0.0	0.0
117.028		40	validation-stimulus	960.0	536.0	379.0	0.0
117.97		41	validation-stimulus	960.0	536.0	-379.0	-379.0
118.906		42	validation-stimulus	960.0	536.0	379.0	-379.0
119.827		43	validation-stimulus	960.0	536.0	0.0	379.0
120.774		44	validation-stimulus	960.0	536.0	379.0	379.0
122.816		45	fixation-stimulus	960.0	536.0	0.0	0.0
123.743		46	validation-stimulus	960.0	536.0	379.0	0.0
124.671		47	validation-stimulus	960.0	536.0	-379.0	0.0
125.609		48	validation-stimulus	960.0	536.0	0.0	-379.0
126.563		49	validation-stimulus	960.0	536.0	379.0	-379.0
127.517		50	validation-stimulus	960.0	536.0	-379.0	379.0
128.471		51	validation-stimulus	960.0	536.0	0.0	0.0
129.418		52	validation-stimulus	960.0	536.0	379.0	379.0
130.347		53	validation-stimulus	960.0	536.0	0.0	379.0
131.292		54	validation-stimulus	960.0	536.0	-379.0	-379.0
133.305		55	fixation-stimulus	960.0	536.0	0.0	0.0
134.237		56	validation-stimulus	960.0	536.0	379.0	-379.0
135.179		57	validation-stimulus	960.0	536.0	-379.0	379.0
136.128		58	validation-stimulus	960.0	536.0	0.0	379.0
137.072		59	validation-stimulus	960.0	536.0	379.0	379.0
137.984		60	validation-stimulus	960.0	536.0	379.0	0.0
138.913		61	validation-stimulus	960.0	536.0	0.0	0.0
139.853		62	validation-stimulus	960.0	536.0	-379.0	-379.0
140.804		63	validation-stimulus	960.0	536.0	-379.0	0.0
141.756		64	validation-stimulus	960.0	536.0	0.0	-379.0
143.796		65	fixation-stimulus	960.0	536.0	0.0	0.0
144.735		66	validation-stimulus	960.0	536.0	-379.0	379.0
145.683		67	validation-stimulus	960.0	536.0	0.0	-379.0
146.609		68	validation-stimulus	960.0	536.0	-379.0	-379.0
147.542		69	validation-stimulus	960.0	536.0	379.0	-379.0
148.495		70	validation-stimulus	960.0	536.0	0.0	0.0
149.438		71	validation-stimulus	960.0	536.0	-379.0	0.0
150.383		72	validation-stimulus	960.0	536.0	379.0	379.0
151.341		73	validation-stimulus	960.0	536.0	379.0	0.0
152.284		74	validation-stimulus	960.0	536.0	0.0	379.0
154.324		75	fixation-stimulus	960.0	536.0	0.0	0.0
155.265		76	validation-stimulus	960.0	536.0	0.0	-379.0
156.217		77	validation-stimulus	960.0	536.0	379.0	379.0
157.149		78	validation-stimulus	960.0	536.0	-379.0	379.0
158.102		79	validation-stimulus	960.0	536.0	-379.0	0.0
159.025		80	validation-stimulus	960.0	536.0	379.0	0.0
159.937		81	validation-stimulus	960.0	536.0	379.0	-379.0
160.869		82	validation-stimulus	960.0	536.0	0.0	379.0
161.814		83	validation-stimulus	960.0	536.0	-379.0	-379.0
162.762		84	validation-stimulus	960.0	536.0	0.0	0.0
164.812		85	fixation-stimulus	960.0	536.0	0.0	0.0
165.779		86	validation-stimulus	960.0	536.0	0.0	379.0
166.72		87	validation-stimulus	960.0	536.0	0.0	-379.0
167.649		88	validation-stimulus	960.0	536.0	-379.0	-379.0
168.599		89	validation-stimulus	960.0	536.0	379.0	379.0
169.544		90	validation-stimulus	960.0	536.0	-379.0	379.0
170.493		91	validation-stimulus	960.0	536.0	379.0	-379.0
171.455		92	validation-stimulus	960.0	536.0	0.0	0.0
172.388		93	validation-stimulus	960.0	536.0	379.0	0.0
173.345		94	validation-stimulus	960.0	536.0	-379.0	0.0
175.392		95	fixation-stimulus	960.0	536.0	0.0	0.0
176.35		96	validation-stimulus	960.0	536.0	379.0	379.0
177.303		97	validation-stimulus	960.0	536.0	379.0	0.0
178.223		98	validation-stimulus	960.0	536.0	-379.0	0.0
179.184		99	validation-stimulus	960.0	536.0	0.0	0.0
180.131		100	validation-stimulus	960.0	536.0	0.0	379.0
181.063		101	validation-stimulus	960.0	536.0	-379.0	-379.0
182.018		102	validation-stimulus	960.0	536.0	-379.0	379.0
182.929		103	validation-stimulus	960.0	536.0	0.0	-379.0
183.863		104	validation-stimulus	960.0	536.0	379.0	-379.0
185.935	2.064	105					
187.099	0.541	106		960.0	536.0		
188.291	0.631	107		960.0	536.0		
189.66	0.781	108		960.0	536.0		
191.108	0.866	109		960.0	536.0		
192.309	0.627	110		960.0	536.0		
193.54	0.661	111		960.0	536.0		
194.95	0.835	112		960.0	536.0		
196.272	0.756	113		960.0	536.0		
197.659	0.813	114		960.0	536.0		
199.083	0.865	115		960.0	536.0		
200.351	0.7	116		960.0	536.0		
201.771	0.852	117		960.0	536.0		
203.077	0.73	118		960.0	536.0		
204.508	0.857	119		960.0	536.0		
206.308	1.224	120		960.0	536.0		
207.943	1.061	121		960.0	536.0		
209.347	0.827	122		960.0	536.0		
210.986	1.068	123		960.0	536.0		
212.554	1.512	124					
214.595		125	fixation-stimulus	960.0	536.0	0.0	0.0
215.545		126	validation-stimulus	960.0	536.0	-379.0	379.0
216.486		127	validation-stimulus	960.0	536.0	-379.0	-379.0
217.441		128	validation-stimulus	960.0	536.0	379.0	379.0
218.358		129	validation-stimulus	960.0	536.0	379.0	0.0
219.311		130	validation-stimulus	960.0	536.0	379.0	-379.0
220.264		131	validation-stimulus	960.0	536.0	0.0	379.0
221.217		132	validation-stimulus	960.0	536.0	0.0	0.0
222.156		133	validation-stimulus	960.0	536.0	-379.0	0.0
223.088		134	validation-stimulus	960.0	536.0	0.0	-379.0
225.126		135	fixation-stimulus	960.0	536.0	0.0	0.0
226.083		136	validation-stimulus	960.0	536.0	-379.0	379.0
227.034		137	validation-stimulus	960.0	536.0	379.0	379.0
227.979		138	validation-stimulus	960.0	536.0	0.0	-379.0
228.927		139	validation-stimulus	960.0	536.0	0.0	379.0
229.869		140	validation-stimulus	960.0	536.0	-379.0	-379.0
230.812		141	validation-stimulus	960.0	536.0	-379.0	0.0
231.761		142	validation-stimulus	960.0	536.0	379.0	-379.0
232.709		143	validation-stimulus	960.0	536.0	379.0	0.0
233.658		144	validation-stimulus	960.0	536.0	0.0	0.0
235.714		145	fixation-stimulus	960.0	536.0	0.0	0.0
236.649		146	validation-stimulus	960.0	536.0	0.0	-379.0
237.596		147	validation-stimulus	960.0	536.0	379.0	379.0
238.527		148	validation-stimulus	960.0	536.0	-379.0	0.0
239.493		149	validation-stimulus	960.0	536.0	-379.0	-379.0
240.433		150	validation-stimulus	960.0	536.0	-379.0	379.0
241.364		151	validation-stimulus	960.0	536.0	0.0	379.0
242.326		152	validation-stimulus	960.0	536.0	0.0	0.0
243.275		153	validation-stimulus	960.0	536.0	379.0	-379.0
244.221		154	validation-stimulus	960.0	536.0	379.0	0.0
246.263		155	fixation-stimulus	960.0	536.0	0.0	0.0
247.21		156	validation-stimulus	960.0	536.0	0.0	379.0
248.156		157	validation-stimulus	960.0	536.0	0.0	-379.0
249.093		158	validation-stimulus	960.0	536.0	-379.0	-379.0
250.043		159	validation-stimulus	960.0	536.0	379.0	379.0
250.992		160	validation-stimulus	960.0	536.0	379.0	-379.0
251.938		161	validation-stimulus	960.0	536.0	0.0	0.0
252.869		162	validation-stimulus	960.0	536.0	-379.0	0.0
253.789		163	validation-stimulus	960.0	536.0	-379.0	379.0
254.737		164	validation-stimulus	960.0	536.0	379.0	0.0
256.771		165	fixation-stimulus	960.0	536.0	0.0	0.0
257.721		166	validation-stimulus	960.0	536.0	379.0	0.0
258.648		167	validation-stimulus	960.0	536.0	0.0	-379.0
259.6		168	validation-stimulus	960.0	536.0	-379.0	0.0
260.558		169	validation-stimulus	960.0	536.0	-379.0	379.0
261.515		170	validation-stimulus	960.0	536.0	379.0	379.0
262.467		171	validation-stimulus	960.0	536.0	0.0	379.0
263.423		172	validation-stimulus	960.0	536.0	0.0	0.0
264.355		173	validation-stimulus	960.0	536.0	-379.0	-379.0
265.304		174	validation-stimulus	960.0	536.0	379.0	-379.0
267.32		175	fixation-stimulus	960.0	536.0	0.0	0.0
268.263		176	validation-stimulus	960.0	536.0	-379.0	-379.0
269.211		177	validation-stimulus	960.0	536.0	379.0	379.0
270.174		178	validation-stimulus	960.0	536.0	0.0	379.0
271.127		179	validation-stimulus	960.0	536.0	0.0	-379.0
272.094		180	validation-stimulus	960.0	536.0	379.0	-379.0
273.023		181	validation-stimulus	960.0	536.0	379.0	0.0
273.972		182	validation-stimulus	960.0	536.0	-379.0	0.0
274.92		183	validation-stimulus	960.0	536.0	0.0	0.0
275.855		184	validation-stimulus	960.0	536.0	-379.0	379.0
277.896		185	fixation-stimulus	960.0	536.0	0.0	0.0
278.856		186	validation-stimulus	960.0	536.0	0.0	-379.0
279.792		187	validation-stimulus	960.0	536.0	0.0	379.0
280.742		188	validation-stimulus	960.0	536.0	379.0	-379.0
281.687		189	validation-stimulus	960.0	536.0	-379.0	379.0
