onset	duration	trial_index	trial-tag	center_x	center_y	start-x	start-y
0.0	565.865	0					
101.787		1					
105.954		2					
105.955		3					
169.278	63.321	4					
175.733	6.45	5					
177.027	0.676	6		960.0	536.0		
178.416	0.833	7		960.0	536.0		
179.763	0.796	8		960.0	536.0		
181.211	0.896	9		960.0	536.0		
182.486	0.719	10		960.0	536.0		
183.778	0.726	11		960.0	536.0		
185.159	0.812	12		960.0	536.0		
186.423	0.702	13		960.0	536.0		
189.398	2.412	14		960.0	536.0		
191.05	1.095	15		960.0	536.0		
192.342	0.736	16		960.0	536.0		
193.7	0.795	17		960.0	536.0		
195.001	0.746	18		960.0	536.0		
196.31	0.739	19		960.0	536.0		
197.774	0.903	20		960.0	536.0		
199.385	1.046	21		960.0	536.0		
200.685	0.729	22		960.0	536.0		
202.086	0.829	23		960.0	536.0		
204.707	2.562	24					
206.736		25	fixation-stimulus	960.0	536.0	0.0	0.0
207.67		26	validation-stimulus	960.0	536.0	0.0	405.0
208.595		27	validation-stimulus	960.0	536.0	-418.0	405.0
209.542		28	validation-stimulus	960.0	536.0	-418.0	-405.0
210.484		29	validation-stimulus	960.0	536.0	-418.0	0.0
211.397		30	validation-stimulus	960.0	536.0	0.0	0.0
212.334		31	validation-stimulus	960.0	536.0	0.0	-405.0
213.263		32	validation-stimulus	960.0	536.0	418.0	0.0
214.203		33	validation-stimulus	960.0	536.0	418.0	405.0
215.141		34	validation-stimulus	960.0	536.0	418.0	-405.0
217.153		35	fixation-stimulus	960.0	536.0	0.0	0.0
218.069		36	validation-stimulus	960.0	536.0	0.0	0.0
219.002		37	validation-stimulus	960.0	536.0	0.0	405.0
219.922		38	validation-stimulus	960.0	536.0	0.0	-405.0
220.866		39	validation-stimulus	960.0	536.0	-418.0	-405.0
221.809		40	validation-stimulus	960.0	536.0	418.0	405.0
222.753		41	validation-stimulus	960.0	536.0	-418.0	405.0
223.668		42	validation-stimulus	960.0	536.0	418.0	-405.0
224.607		43	validation-stimulus	960.0	536.0	418.0	0.0
225.52		44	validation-stimulus	960.0	536.0	-418.0	0.0
227.55		45	fixation-stimulus	960.0	536.0	0.0	0.0
228.48		46	validation-stimulus	960.0	536.0	418.0	-405.0
229.386		47	validation-stimulus	960.0	536.0	0.0	0.0
230.301		48	validation-stimulus	960.0	536.0	418.0	0.0
231.246		49	validation-stimulus	960.0	536.0	-418.0	0.0
232.18		50	validation-stimulus	960.0	536.0	-418.0	405.0
233.129		51	validation-stimulus	960.0	536.0	-418.0	-405.0
234.074		52	validation-stimulus	960.0	536.0	0.0	-405.0
234.993		53	validation-stimulus	960.0	536.0	418.0	405.0
235.926		54	validation-stimulus	960.0	536.0	0.0	405.0
237.955		55	fixation-stimulus	960.0	536.0	0.0	0.0
238.898		56	validation-stimulus	960.0	536.0	418.0	405.0
239.846		57	validation-stimulus	960.0	536.0	418.0	-405.0
240.783		58	validation-stimulus	960.0	536.0	-418.0	-405.0
241.718		59	validation-stimulus	960.0	536.0	-418.0	0.0
242.66		60	validation-stimulus	960.0	536.0	0.0	0.0
243.579		61	validation-stimulus	960.0	536.0	-418.0	405.0
244.517		62	validation-stimulus	960.0	536.0	418.0	0.0
245.456		63	validation-stimulus	960.0	536.0	0.0	405.0
246.386		64	validation-stimulus	960.0	536.0	0.0	-405.0
248.432		65	fixation-stimulus	960.0	536.0	0.0	0.0
249.365		66	validation-stimulus	960.0	536.0	0.0	0.0
250.284		67	validation-stimulus	960.0	536.0	-418.0	-405.0
251.21		68	validation-stimulus	960.0	536.0	0.0	-405.0
252.146		69	validation-stimulus	960.0	536.0	-418.0	0.0
253.071		70	validation-stimulus	960.0	536.0	0.0	405.0
254.003		71	validation-stimulus	960.0	536.0	418.0	405.0
254.94		72	validation-stimulus	960.0	536.0	-418.0	405.0
255.882		73	validation-stimulus	960.0	536.0	418.0	0.0
256.794		74	validation-stimulus	960.0	536.0	418.0	-405.0
258.831		75	fixation-stimulus	960.0	536.0	0.0	0.0
259.77		76	validation-stimulus	960.0	536.0	0.0	0.0
260.71		77	validation-stimulus	960.0	536.0	0.0	405.0
261.658		78	validation-stimulus	960.0	536.0	-418.0	-405.0
262.602		79	validation-stimulus	960.0	536.0	-418.0	0.0
263.546		80	validation-stimulus	960.0	536.0	418.0	0.0
264.498		81	validation-stimulus	960.0	536.0	-418.0	405.0
265.437		82	validation-stimulus	960.0	536.0	418.0	-405.0
266.374		83	validation-stimulus	960.0	536.0	418.0	405.0
267.317		84	validation-stimulus	960.0	536.0	0.0	-405.0
269.364		85	fixation-stimulus	960.0	536.0	0.0	0.0
270.297		86	validation-stimulus	960.0	536.0	0.0	0.0
271.242		87	validation-stimulus	960.0	536.0	-418.0	0.0
272.172		88	validation-stimulus	960.0	536.0	-418.0	405.0
273.109		89	validation-stimulus	960.0	536.0	0.0	-405.0
274.044		90	validation-stimulus	960.0	536.0	-418.0	-405.0
274.982		91	validation-stimulus	960.0	536.0	0.0	405.0
275.92		92	validation-stimulus	960.0	536.0	418.0	405.0
276.871		93	validation-stimulus	960.0	536.0	418.0	0.0
277.801		94	validation-stimulus	960.0	536.0	418.0	-405.0
279.84		95	fixation-stimulus	960.0	536.0	0.0	0.0
280.775		96	validation-stimulus	960.0	536.0	418.0	-405.0
281.706		97	validation-stimulus	960.0	536.0	-418.0	0.0
282.656		98	validation-stimulus	960.0	536.0	418.0	405.0
283.592		99	validation-stimulus	960.0	536.0	-418.0	-405.0
284.539		100	validation-stimulus	960.0	536.0	0.0	405.0
285.48		101	validation-stimulus	960.0	536.0	0.0	-405.0
286.425		102	validation-stimulus	960.0	536.0	-418.0	405.0
287.369		103	validation-stimulus	960.0	536.0	418.0	0.0
288.297		104	validation-stimulus	960.0	536.0	0.0	0.0
291.504	3.2	105					
292.813	0.696	106		960.0	536.0		
294.004	0.621	107		960.0	536.0		
295.204	0.621	108		960.0	536.0		
296.331	0.564	109		960.0	536.0		
297.572	0.668	110		960.0	536.0		
298.846	0.713	111		960.0	536.0		
300.031	0.627	112		960.0	536.0		
301.341	0.737	113		960.0	536.0		
302.615	0.713	114		960.0	536.0		
303.799	0.612	115		960.0	536.0		
305.004	0.644	116		960.0	536.0		
306.356	0.796	117		960.0	536.0		
307.556	0.635	118		960.0	536.0		
308.869	0.732	119		960.0	536.0		
310.388	0.94	120		960.0	536.0		
311.74	0.783	121		960.0	536.0		
