"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","load_time","success","jspsych_start_time","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response_type","key_press","avg_frame_time","center_x","center_y","rastoc-type","stimulus-coordinate","calibration-id","calibration-point-id","inner-width","inner-height","webgazer_data","webgazer_targets","session-id","validation-id","tracked-trial-id","trial-tag","start-x","start-y","events"
"13231","{""name-id"":""Gustavo"",""webcam-id"":""4"",""computer-id"":""3"",""web-browser"":""Chrome/Local"",""operating-system"":""Ubuntu""}","survey-html-form","0","13234","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","webgazer-init-camera","1","22709","0.0-1.0","4260","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","fullscreen","2","25123","0.0-2.0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","events-tracking-start","3","25123","0.0-3.0","","","2023-01-30T20:29:24.842Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49650","","virtual-chinrest","4","74774","0.0-4.0","","","","85.6","53.98","348","4.07","561.88","8.711941659433656","39.945171077123895","48.065885017564995","27.03706032238031","","","","","","","","","","","","","","","","","","","","",""
"4992","0","html-button-response","5","79767","0.0-5.0-0.0-0.0","","","","","","","","","","","","","
        <h3>Calibration Session</h3>

        Sit comfortably, from now on try to keep your head as still as
        possible.
        <br>
        <br>
        
        Next you will see a <b>series of markers</b> in the screen.
        <br>

        As they appear <b>fix your gaze</b> on them.
        <br>

        Once they turn orange, press the <b>space bar</b>.
        <br>
      ","","","","","","","","","","","","","","","","","","","",""
"1387"," ","psychophysics","6","81735","0.0-5.0-0.0-1.0-0.0","","","","","","","","","","","","","","key"," ","19.937298969072216","960","536","calibration-stimulus","{""x"":0,""y"":0}","0","0","1920","1080","","","","","","","","",""
"842"," ","psychophysics","7","83164","0.0-5.0-0.0-1.1-0.1","","","","","","","","","","","","","","key"," ","18.89426666666676","960","536","calibration-stimulus","{""x"":399,""y"":0}","0","1","1920","1080","","","","","","","","",""
"1067"," ","psychophysics","8","84814","0.0-5.0-0.0-1.2-0.2","","","","","","","","","","","","","","key"," ","19.964641975308805","960","536","calibration-stimulus","{""x"":0,""y"":-399}","0","2","1920","1080","","","","","","","","",""
"1464"," ","psychophysics","9","86860","0.0-5.0-0.0-1.3-0.3","","","","","","","","","","","","","","key"," ","19.370628571428547","960","536","calibration-stimulus","{""x"":399,""y"":399}","0","3","1920","1080","","","","","","","","",""
"981"," ","psychophysics","10","88428","0.0-5.0-0.0-1.4-0.4","","","","","","","","","","","","","","key"," ","19.14133333333338","960","536","calibration-stimulus","{""x"":-399,""y"":399}","0","4","1920","1080","","","","","","","","",""
"1003"," ","psychophysics","11","90017","0.0-5.0-0.0-1.5-0.5","","","","","","","","","","","","","","key"," ","19.589124999999875","960","536","calibration-stimulus","{""x"":-399,""y"":-399}","0","5","1920","1080","","","","","","","","",""
"1405"," ","psychophysics","12","91975","0.0-5.0-0.0-1.6-0.6","","","","","","","","","","","","","","key"," ","19.90372448979594","960","536","calibration-stimulus","{""x"":-399,""y"":0}","0","6","1920","1080","","","","","","","","",""
"1197"," ","psychophysics","13","93744","0.0-5.0-0.0-1.7-0.7","","","","","","","","","","","","","","key"," ","20.120724137931166","960","536","calibration-stimulus","{""x"":399,""y"":-399}","0","7","1920","1080","","","","","","","","",""
"1153"," ","psychophysics","14","95458","0.0-5.0-0.0-1.8-0.8","","","","","","","","","","","","","","key"," ","19.134477272727302","960","536","calibration-stimulus","{""x"":0,""y"":399}","0","8","1920","1080","","","","","","","","",""
"1449"," ","psychophysics","15","97479","0.0-5.0-0.0-1.9-0.9","","","","","","","","","","","","","","key"," ","19.613627450980356","960","536","calibration-stimulus","{""x"":0,""y"":0}","0","9","1920","1080","","","","","","","","",""
"1309"," ","psychophysics","16","99373","0.0-5.0-0.0-1.10-0.10","","","","","","","","","","","","","","key"," ","18.838699999999953","960","536","calibration-stimulus","{""x"":399,""y"":0}","0","10","1920","1080","","","","","","","","",""
"1255"," ","psychophysics","17","101216","0.0-5.0-0.0-1.11-0.11","","","","","","","","","","","","","","key"," ","19.969285714285732","960","536","calibration-stimulus","{""x"":0,""y"":-399}","0","11","1920","1080","","","","","","","","",""
"2960"," ","psychophysics","18","104760","0.0-5.0-0.0-1.12-0.12","","","","","","","","","","","","","","key"," ","19.117891304347882","960","536","calibration-stimulus","{""x"":399,""y"":399}","0","12","1920","1080","","","","","","","","",""
"1987"," ","psychophysics","19","107345","0.0-5.0-0.0-1.13-0.13","","","","","","","","","","","","","","key"," ","19.03543283582084","960","536","calibration-stimulus","{""x"":-399,""y"":399}","0","13","1920","1080","","","","","","","","",""
"1700"," ","psychophysics","20","109638","0.0-5.0-0.0-1.14-0.14","","","","","","","","","","","","","","key"," ","19.053319327731103","960","536","calibration-stimulus","{""x"":-399,""y"":-399}","0","14","1920","1080","","","","","","","","",""
"1577"," ","psychophysics","21","111798","0.0-5.0-0.0-1.15-0.15","","","","","","","","","","","","","","key"," ","19.91313888888881","960","536","calibration-stimulus","{""x"":-399,""y"":0}","0","15","1920","1080","","","","","","","","",""
"1798"," ","psychophysics","22","114181","0.0-5.0-0.0-1.16-0.16","","","","","","","","","","","","","","key"," ","19.404631147541025","960","536","calibration-stimulus","{""x"":399,""y"":-399}","0","16","1920","1080","","","","","","","","",""
"2087"," ","psychophysics","23","116853","0.0-5.0-0.0-1.17-0.17","","","","","","","","","","","","","","key"," ","19.07025899280578","960","536","calibration-stimulus","{""x"":0,""y"":399}","0","17","1920","1080","","","","","","","","",""
"2133"," ","html-keyboard-response","24","119045","0.0-5.0-1.0","","","","","","","","","","","","","
      <h3>Experimentation Session (1 / 8)</h3>
      8 times you will see a series of stimulus in the same
      positions in which you just calibrated.
      Fix your gaze on them as they appear.
      <br>

      A central cross will appear in between each pair of series.
      While this cross is present you can rest your gaze and blink.
      <br>

      Press the space bar to start.
        ","","","","","","","","","","","","","","","","","","","",""
"null","null","psychophysics","25","121075","0.0-5.0-2.0-0.0","","","","","","","","","","","","","","key","null","24.91291358024687","960","536","tracked-stimulus","","","","","","[{""x"":779,""y"":443,""t"":0},{""x"":777,""y"":452,""t"":61},{""x"":937,""y"":481,""t"":108},{""x"":1107,""y"":517,""t"":180},{""x"":1123,""y"":537,""t"":233},{""x"":1115,""y"":611,""t"":260},{""x"":1161,""y"":608,""t"":308},{""x"":1131,""y"":645,""t"":380},{""x"":1095,""y"":647,""t"":457},{""x"":1030,""y"":660,""t"":505},{""x"":987,""y"":673,""t"":530},{""x"":1047,""y"":618,""t"":582},{""x"":1040,""y"":557,""t"":655},{""x"":1038,""y"":577,""t"":703},{""x"":1033,""y"":581,""t"":749},{""x"":1013,""y"":585,""t"":799},{""x"":997,""y"":602,""t"":846},{""x"":998,""y"":615,""t"":871},{""x"":973,""y"":633,""t"":919},{""x"":994,""y"":608,""t"":992},{""x"":979,""y"":526,""t"":1043},{""x"":965,""y"":510,""t"":1099},{""x"":892,""y"":499,""t"":1148},{""x"":890,""y"":501,""t"":1200},{""x"":810,""y"":485,""t"":1249},{""x"":869,""y"":490,""t"":1297},{""x"":921,""y"":522,""t"":1350},{""x"":934,""y"":548,""t"":1390},{""x"":912,""y"":576,""t"":1417},{""x"":900,""y"":567,""t"":1465},{""x"":908,""y"":553,""t"":1539},{""x"":868,""y"":573,""t"":1588},{""x"":873,""y"":598,""t"":1636},{""x"":877,""y"":570,""t"":1707},{""x"":879,""y"":562,""t"":1782},{""x"":902,""y"":547,""t"":1830},{""x"":966,""y"":550,""t"":1881},{""x"":911,""y"":549,""t"":1931},{""x"":862,""y"":546,""t"":1957},{""x"":885,""y"":532,""t"":2003}]","{}","1","1","1","fixation-stimulus","0","0",""
"null","null","psychophysics","26","121998","0.0-5.0-2.0-1.0-0.0","","","","","","","","","","","","","","key","null","25.721685714285872","960","536","tracked-stimulus","","","","","","[{""x"":868,""y"":547,""t"":0},{""x"":934,""y"":528,""t"":63},{""x"":973,""y"":547,""t"":97},{""x"":972,""y"":535,""t"":127},{""x"":981,""y"":560,""t"":176},{""x"":917,""y"":566,""t"":248},{""x"":866,""y"":539,""t"":298},{""x"":1155,""y"":440,""t"":347},{""x"":1335,""y"":345,""t"":398},{""x"":1429,""y"":237,""t"":447},{""x"":1422,""y"":209,""t"":500},{""x"":1381,""y"":205,""t"":550},{""x"":1338,""y"":209,""t"":602},{""x"":1309,""y"":210,""t"":650},{""x"":1263,""y"":190,""t"":725},{""x"":1252,""y"":187,""t"":774},{""x"":1252,""y"":192,""t"":821},{""x"":1263,""y"":180,""t"":895}]","{}","1","1","2","validation-stimulus","399","-399",""
"null","null","psychophysics","27","122933","0.0-5.0-2.0-1.1-0.1","","","","","","","","","","","","","","key","null","23.69100000000004","960","536","tracked-stimulus","","","","","","[{""x"":1282,""y"":204,""t"":0},{""x"":1299,""y"":223,""t"":49},{""x"":1294,""y"":261,""t"":98},{""x"":1285,""y"":274,""t"":124},{""x"":1318,""y"":270,""t"":175},{""x"":1183,""y"":476,""t"":211},{""x"":912,""y"":651,""t"":268},{""x"":725,""y"":653,""t"":293},{""x"":482,""y"":604,""t"":342},{""x"":366,""y"":267,""t"":415},{""x"":345,""y"":100,""t"":488},{""x"":373,""y"":12,""t"":538},{""x"":449,""y"":27,""t"":588},{""x"":494,""y"":81,""t"":636},{""x"":499,""y"":117,""t"":685},{""x"":507,""y"":104,""t"":756},{""x"":520,""y"":132,""t"":806},{""x"":502,""y"":90,""t"":856},{""x"":494,""y"":66,""t"":908}]","{}","1","1","3","validation-stimulus","-399","-399",""
"null","null","psychophysics","28","123872","0.0-5.0-2.0-1.2-0.2","","","","","","","","","","","","","","key","null","24.781864864864964","960","536","tracked-stimulus","","","","","","[{""x"":480,""y"":64,""t"":0},{""x"":502,""y"":78,""t"":63},{""x"":491,""y"":69,""t"":89},{""x"":544,""y"":90,""t"":140},{""x"":614,""y"":203,""t"":213},{""x"":900,""y"":368,""t"":262},{""x"":1071,""y"":319,""t"":312},{""x"":1057,""y"":175,""t"":383},{""x"":1003,""y"":112,""t"":429},{""x"":931,""y"":104,""t"":481},{""x"":979,""y"":90,""t"":551},{""x"":855,""y"":111,""t"":622},{""x"":730,""y"":140,""t"":675},{""x"":662,""y"":166,""t"":700},{""x"":768,""y"":144,""t"":750},{""x"":837,""y"":131,""t"":820},{""x"":789,""y"":135,""t"":891}]","{}","1","1","4","validation-stimulus","0","-399",""
"null","null","psychophysics","29","124806","0.0-5.0-2.0-1.3-0.3","","","","","","","","","","","","","","key","null","25.007611111111245","960","536","tracked-stimulus","","","","","","[{""x"":780,""y"":143,""t"":0},{""x"":777,""y"":141,""t"":82},{""x"":812,""y"":157,""t"":130},{""x"":836,""y"":148,""t"":155},{""x"":913,""y"":208,""t"":207},{""x"":1203,""y"":414,""t"":280},{""x"":1455,""y"":523,""t"":352},{""x"":1495,""y"":454,""t"":403},{""x"":1489,""y"":406,""t"":429},{""x"":1488,""y"":369,""t"":479},{""x"":1429,""y"":389,""t"":552},{""x"":1486,""y"":400,""t"":602},{""x"":1507,""y"":394,""t"":652},{""x"":1472,""y"":416,""t"":703},{""x"":1466,""y"":426,""t"":754},{""x"":1500,""y"":427,""t"":804},{""x"":1492,""y"":444,""t"":857},{""x"":1462,""y"":439,""t"":907}]","{}","1","1","5","validation-stimulus","399","0",""
"null","null","psychophysics","30","125737","0.0-5.0-2.0-1.4-0.4","","","","","","","","","","","","","","key","null","25.007277777777844","960","536","tracked-stimulus","","","","","","[{""x"":1435,""y"":442,""t"":0},{""x"":1459,""y"":478,""t"":61},{""x"":1519,""y"":490,""t"":107},{""x"":1579,""y"":487,""t"":179},{""x"":1569,""y"":469,""t"":230},{""x"":1497,""y"":522,""t"":278},{""x"":1399,""y"":564,""t"":353},{""x"":1446,""y"":606,""t"":405},{""x"":1465,""y"":626,""t"":431},{""x"":1467,""y"":636,""t"":481},{""x"":1420,""y"":645,""t"":556},{""x"":1408,""y"":664,""t"":604},{""x"":1410,""y"":673,""t"":654},{""x"":1402,""y"":705,""t"":725},{""x"":1372,""y"":716,""t"":775},{""x"":1347,""y"":723,""t"":827},{""x"":1316,""y"":732,""t"":875},{""x"":1284,""y"":745,""t"":923}]","{}","1","1","6","validation-stimulus","399","399",""
