"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","load_time","success","jspsych_start_time","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response_type","key_press","avg_frame_time","center_x","center_y","rastoc-type","stimulus-coordinate","calibration-id","calibration-point-id","inner-width","inner-height","webgazer_data","webgazer_targets","session-id","validation-id","tracked-trial-id","trial-tag","start-x","start-y","events"
"12678","{""name-id"":""Gustavo"",""webcam-id"":""4"",""computer-id"":""3"",""web-browser"":""Chrome"",""operating-system"":""Ubuntu 20""}","survey-html-form","0","12683","0.0-0.0","30","1","2023-01-25 17:49:31","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","webgazer-init-camera","1","47388","0.0-1.0","30","1","2023-01-25 17:49:31","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","2698","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","fullscreen","2","49828","0.0-2.0","30","1","2023-01-25 17:49:31","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","events-tracking-start","3","49829","0.0-3.0","30","1","2023-01-25 17:49:31","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","2023-01-25T17:49:33.664Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46216","","virtual-chinrest","4","96046","0.0-4.0","30","1","2023-01-25 17:49:31","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","85.6","53.98","346","4.04","566.44","8.642074796778957","40.03668194690468","47.9560219936867","26.975262371448768","","","","","","","","","","","","","","","","","","","","",""
"2346","0","html-button-response","5","98396","0.0-5.0-0.0-0.0","30","1","2023-01-25 17:49:31","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","","","","","","","","","","
        <h3>Calibration Session</h3>

        Sit comfortably, from now on try to keep your head as still as
        possible.
        <br>
        <br>
        
        Next you will see a <b>series of markers</b> in the screen.
        <br>

        As they appear <b>fix your gaze</b> on them.
        <br>

        Once they turn orange, press the <b>space bar</b>.
        <br>
      ","","","","","","","","","","","","","","","","","","","",""
"561"," ","psychophysics","6","99564","0.0-5.0-0.0-1.0-0.0","30","1","2023-01-25 17:49:31","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","","","","","","","","","","","key"," ","17.697753846153947","960","536","calibration-stimulus","{""x"":-400,""y"":400}","0","0","1920","1080","","","","","","","","",""
"560"," ","psychophysics","7","100681","0.0-5.0-0.0-1.1-0.1","30","1","2023-01-25 17:49:31","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","","","","","","","","","","","key"," ","17.19251562500017","960","536","calibration-stimulus","{""x"":400,""y"":-400}","0","1","1920","1080","","","","","","","","",""
"561"," ","psychophysics","8","101798","0.0-5.0-0.0-1.2-0.2","30","1","2023-01-25 17:49:31","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","","","","","","","","","","","key"," ","17.19248437500005","960","536","calibration-stimulus","{""x"":0,""y"":400}","0","2","1920","1080","","","","","","","","",""
"467"," ","psychophysics","9","102818","0.0-5.0-0.0-1.3-0.3","30","1","2023-01-25 17:49:31","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","","","","","","","","","","","key"," ","17.236644067796604","960","536","calibration-stimulus","{""x"":0,""y"":-400}","0","3","1920","1080","","","","","","","","",""
