"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","load_time","success","jspsych_start_time","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response_type","key_press","avg_frame_time","center_x","center_y","rastoc-type","stimulus-coordinate","calibration-id","calibration-point-id","inner-width","inner-height","webgazer_data","webgazer_targets","session-id","validation-id","tracked-trial-id","trial-tag","start-x","start-y","events"
"4358","{""name-id"":""1"",""webcam-id"":""1"",""computer-id"":""1"",""web-browser"":""1"",""operating-system"":""1""}","survey-html-form","0","4360","0.0-0.0","38","1","2023-01-25 22:17:01","e966fe4663aec2f5ee23f42547066ce4","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","webgazer-init-camera","1","10990","0.0-1.0","38","1","2023-01-25 22:17:01","e966fe4663aec2f5ee23f42547066ce4","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","2740","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","fullscreen","2","13169","0.0-2.0","38","1","2023-01-25 22:17:01","e966fe4663aec2f5ee23f42547066ce4","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","events-tracking-start","3","13169","0.0-3.0","38","1","2023-01-25 22:17:01","e966fe4663aec2f5ee23f42547066ce4","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","2023-01-25T22:17:53.999Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7253","","virtual-chinrest","4","20425","0.0-4.0","38","1","2023-01-25 22:17:01","e966fe4663aec2f5ee23f42547066ce4","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","85.6","53.98","323","3.77","187.16","25.76197264224813","12.53785975497462","153.13618412729537","86.13910357160366","","","","","","","","","","","","","","","","","","","","",""
"935","0","html-button-response","5","21362","0.0-5.0-0.0-0.0","38","1","2023-01-25 22:17:01","e966fe4663aec2f5ee23f42547066ce4","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","","","","","","","","","","
        <h3>Calibration Session</h3>

        Sit comfortably, from now on try to keep your head as still as
        possible.
        <br>
        <br>
        
        Next you will see a <b>series of markers</b> in the screen.
        <br>

        As they appear <b>fix your gaze</b> on them.
        <br>

        Once they turn orange, press the <b>space bar</b>.
        <br>
      ","","","","","","","","","","","","","","","","","","","",""
"583"," ","psychophysics","6","22503","0.0-5.0-0.0-1.0-0.0","38","1","2023-01-25 22:17:01","e966fe4663aec2f5ee23f42547066ce4","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","","","","","","","","","","","key"," ","17.73011111111116","960","536","calibration-stimulus","{""x"":0,""y"":0}","0","0","1920","1080","","","","","","","","",""
"514"," ","psychophysics","7","23582","0.0-5.0-0.0-1.1-0.1","38","1","2023-01-25 22:17:01","e966fe4663aec2f5ee23f42547066ce4","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","","","","","","","","","","","key"," ","17.209193548387056","960","536","calibration-stimulus","{""x"":125,""y"":125}","0","1","1920","1080","","","","","","","","",""
"481"," ","psychophysics","8","24616","0.0-5.0-0.0-1.2-0.2","38","1","2023-01-25 22:17:01","e966fe4663aec2f5ee23f42547066ce4","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","","","","","","","","","","","key"," ","17.236864406779635","960","536","calibration-stimulus","{""x"":-125,""y"":125}","0","2","1920","1080","","","","","","","","",""
"541"," ","psychophysics","9","25732","0.0-5.0-0.0-1.3-0.3","38","1","2023-01-25 22:17:01","e966fe4663aec2f5ee23f42547066ce4","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","","","","","","","","","","","key"," ","18.03808196721312","960","536","calibration-stimulus","{""x"":125,""y"":0}","0","3","1920","1080","","","","","","","","",""
