"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","load_time","success","jspsych_start_time","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response_type","key_press","avg_frame_time","center_x","center_y","rastoc-type","stimulus-coordinate","calibration-id","calibration-point-id","inner-width","inner-height","webgazer_data","webgazer_targets","session-id","validation-id","tracked-trial-id","trial-tag","start-x","start-y","events"
"9112","{""name-id"":""1"",""webcam-id"":""1"",""computer-id"":""1"",""web-browser"":""1"",""operating-system"":""1""}","survey-html-form","0","9115","0.0-0.0","56","1","2023-01-26 20:39:04","2e4c0f8947ff55806692c44d97ac5ef9","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","webgazer-init-camera","1","15557","0.0-1.0","56","1","2023-01-26 20:39:04","2e4c0f8947ff55806692c44d97ac5ef9","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","2753","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","fullscreen","2","17616","0.0-2.0","56","1","2023-01-26 20:39:04","2e4c0f8947ff55806692c44d97ac5ef9","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","events-tracking-start","3","17617","0.0-3.0","56","1","2023-01-26 20:39:04","2e4c0f8947ff55806692c44d97ac5ef9","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","2023-01-26T20:39:06.966Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29723","","virtual-chinrest","4","47341","0.0-4.0","56","1","2023-01-26 20:39:04","2e4c0f8947ff55806692c44d97ac5ef9","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","85.6","53.98","340","3.97","532.36","9.193013215479082","36.98460907545659","51.91348639329364","29.20133609622767","","","","","","","","","","","","","","","","","","","","",""
"948","0","html-button-response","5","48292","0.0-5.0-0.0-0.0","56","1","2023-01-26 20:39:04","2e4c0f8947ff55806692c44d97ac5ef9","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","","","","","","","","","","
        <h3>Calibration Session</h3>

        Sit comfortably, from now on try to keep your head as still as
        possible.
        <br>
        <br>
        
        Next you will see a <b>series of markers</b> in the screen.
        <br>

        As they appear <b>fix your gaze</b> on them.
        <br>

        Once they turn orange, press the <b>space bar</b>.
        <br>
      ","","","","","","","","","","","","","","","","","","","",""
"157"," ","psychophysics","6","49010","0.0-5.0-0.0-1.0-0.0","56","1","2023-01-26 20:39:04","2e4c0f8947ff55806692c44d97ac5ef9","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","","","","","","","","","","","key"," ","17.505524999999942","960","536","calibration-stimulus","{""x"":370,""y"":-370}","0","0","1920","1080","","","","","","","","",""
"592"," ","psychophysics","7","50174","0.0-5.0-0.0-1.1-0.1","56","1","2023-01-26 20:39:04","2e4c0f8947ff55806692c44d97ac5ef9","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","","","","","","","","","","","key"," ","17.1691791044776","960","536","calibration-stimulus","{""x"":-370,""y"":370}","0","1","1920","1080","","","","","","","","",""
"752"," ","psychophysics","8","51498","0.0-5.0-0.0-1.2-0.2","56","1","2023-01-26 20:39:04","2e4c0f8947ff55806692c44d97ac5ef9","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","","","","","","","","","","","key"," ","17.338399999999965","960","536","calibration-stimulus","{""x"":0,""y"":370}","0","2","1920","1080","","","","","","","","",""
"909"," ","psychophysics","9","52961","0.0-5.0-0.0-1.3-0.3","56","1","2023-01-26 20:39:04","2e4c0f8947ff55806692c44d97ac5ef9","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","","","","","","","","","","","key"," ","17.2668333333333","960","536","calibration-stimulus","{""x"":-370,""y"":0}","0","3","1920","1080","","","","","","","","",""
