"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","load_time","success","jspsych_start_time","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response_type","key_press","avg_frame_time","center_x","center_y","rastoc-type","stimulus-coordinate","calibration-id","calibration-point-id","inner-width","inner-height","webgazer_data","webgazer_targets","session-id","validation-id","tracked-trial-id","trial-tag","start-x","start-y","events"
"8174","{""name-id"":""1"",""webcam-id"":""1"",""computer-id"":""1"",""web-browser"":""1"",""operating-system"":""1""}","survey-html-form","0","8176","0.0-0.0","40","1","2023-01-25 22:28:12","e966fe4663aec2f5ee23f42547066ce4","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","webgazer-init-camera","1","15581","0.0-1.0","40","1","2023-01-25 22:28:12","e966fe4663aec2f5ee23f42547066ce4","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","4309","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","fullscreen","2","17995","0.0-2.0","40","1","2023-01-25 22:28:12","e966fe4663aec2f5ee23f42547066ce4","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","events-tracking-start","3","17995","0.0-3.0","40","1","2023-01-25 22:28:12","e966fe4663aec2f5ee23f42547066ce4","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","2023-01-25T22:28:13.222Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6972","","virtual-chinrest","4","24967","0.0-4.0","40","1","2023-01-25 22:28:12","e966fe4663aec2f5ee23f42547066ce4","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","85.6","53.98","285","3.33","202.39","23.881163144484695","11.934092082354043","160.8836253944232","90.49703928436305","","","","","","","","","","","","","","","","","","","","",""
"1041","0","html-button-response","5","26009","0.0-5.0-0.0-0.0","40","1","2023-01-25 22:28:12","e966fe4663aec2f5ee23f42547066ce4","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","
        <h3>Calibration Session</h3>

        Sit comfortably, from now on try to keep your head as still as
        possible.
        <br>
        <br>
        
        Next you will see a <b>series of markers</b> in the screen.
        <br>

        As they appear <b>fix your gaze</b> on them.
        <br>

        Once they turn orange, press the <b>space bar</b>.
        <br>
      ","","","","","","","","","","","","","","","","","","","",""
"400"," ","psychophysics","6","26972","0.0-5.0-0.0-1.0-0.0","40","1","2023-01-25 22:28:12","e966fe4663aec2f5ee23f42547066ce4","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","24.567894736842153","960","536","calibration-stimulus","{""x"":-119,""y"":-119}","0","0","1920","1080","","","","","","","","",""
"390"," ","psychophysics","7","27946","0.0-5.0-0.0-1.1-0.1","40","1","2023-01-25 22:28:12","e966fe4663aec2f5ee23f42547066ce4","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","24.173999999999978","960","536","calibration-stimulus","{""x"":0,""y"":119}","0","1","1920","1080","","","","","","","","",""
"295"," ","psychophysics","8","28793","0.0-5.0-0.0-1.2-0.2","40","1","2023-01-25 22:28:12","e966fe4663aec2f5ee23f42547066ce4","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","24.517647058823485","960","536","calibration-stimulus","{""x"":-119,""y"":0}","0","2","1920","1080","","","","","","","","",""
"334"," ","psychophysics","9","29681","0.0-5.0-0.0-1.3-0.3","40","1","2023-01-25 22:28:12","e966fe4663aec2f5ee23f42547066ce4","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","24.080555555555595","960","536","calibration-stimulus","{""x"":0,""y"":-119}","0","3","1920","1080","","","","","","","","",""
"250"," ","psychophysics","10","30507","0.0-5.0-0.0-1.4-0.4","40","1","2023-01-25 22:28:12","e966fe4663aec2f5ee23f42547066ce4","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","24.753939393939426","960","536","calibration-stimulus","{""x"":119,""y"":119}","0","4","1920","1080","","","","","","","","",""
"236"," ","psychophysics","11","31324","0.0-5.0-0.0-1.5-0.5","40","1","2023-01-25 22:28:12","e966fe4663aec2f5ee23f42547066ce4","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","23.964375000000018","960","536","calibration-stimulus","{""x"":-119,""y"":119}","0","5","1920","1080","","","","","","","","",""
"829"," ","psychophysics","12","32703","0.0-5.0-0.0-1.6-0.6","40","1","2023-01-25 22:28:12","e966fe4663aec2f5ee23f42547066ce4","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","24.552727272727168","960","536","calibration-stimulus","{""x"":119,""y"":0}","0","6","1920","1080","","","","","","","","",""
"535"," ","psychophysics","13","33792","0.0-5.0-0.0-1.7-0.7","40","1","2023-01-25 22:28:12","e966fe4663aec2f5ee23f42547066ce4","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","24.42790697674422","960","536","calibration-stimulus","{""x"":0,""y"":0}","0","7","1920","1080","","","","","","","","",""
"390"," ","psychophysics","14","34739","0.0-5.0-0.0-1.8-0.8","40","1","2023-01-25 22:28:12","e966fe4663aec2f5ee23f42547066ce4","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","24.780540540540667","960","536","calibration-stimulus","{""x"":119,""y"":-119}","0","8","1920","1080","","","","","","","","",""
"386"," ","psychophysics","15","35713","0.0-5.0-0.0-1.9-0.9","40","1","2023-01-25 22:28:12","e966fe4663aec2f5ee23f42547066ce4","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","24.1744999999999","960","536","calibration-stimulus","{""x"":-119,""y"":-119}","0","9","1920","1080","","","","","","","","",""
