"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","load_time","success","jspsych_start_time","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response_type","key_press","avg_frame_time","center_x","center_y","rastoc-type","stimulus-coordinate","calibration-id","calibration-point-id","inner-width","inner-height","webgazer_data","webgazer_targets","session-id","validation-id","tracked-trial-id","trial-tag","start-x","start-y","events"
"14994","{""name-id"":""probando"",""webcam-id"":""4"",""computer-id"":""3"",""web-browser"":""Firefox"",""operating-system"":""Ubuntu""}","survey-html-form","0","14995","0.0-0.0","58","1","2023-01-30 13:43:14","d54bc09410e8fd1e661d043dc9237913","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","webgazer-init-camera","1","44469","0.0-1.0","58","1","2023-01-30 13:43:14","d54bc09410e8fd1e661d043dc9237913","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","22001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","fullscreen","2","46302","0.0-2.0","58","1","2023-01-30 13:43:14","d54bc09410e8fd1e661d043dc9237913","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","events-tracking-start","3","46302","0.0-3.0","58","1","2023-01-30 13:43:14","d54bc09410e8fd1e661d043dc9237913","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","2023-01-30T13:43:16.068Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39431","","virtual-chinrest","4","85735","0.0-4.0","58","1","2023-01-30 13:43:14","d54bc09410e8fd1e661d043dc9237913","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","85.6","53.98","346","4.04","582.11","8.410282098335397","41.14011824508027","46.66977349365307","26.25174759017985","","","","","","","","","","","","","","","","","","","","",""
"875","0","html-button-response","5","86615","0.0-5.0-0.0-0.0","58","1","2023-01-30 13:43:14","d54bc09410e8fd1e661d043dc9237913","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","
        <h3>Calibration Session</h3>

        Sit comfortably, from now on try to keep your head as still as
        possible.
        <br>
        <br>
        
        Next you will see a <b>series of markers</b> in the screen.
        <br>

        As they appear <b>fix your gaze</b> on them.
        <br>

        Once they turn orange, press the <b>space bar</b>.
        <br>
      ","","","","","","","","","","","","","","","","","","","",""
"747"," ","psychophysics","6","87922","0.0-5.0-0.0-1.0-0.0","58","1","2023-01-30 13:43:14","d54bc09410e8fd1e661d043dc9237913","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","24.84431372549015","960","536","calibration-stimulus","{""x"":0,""y"":405}","0","0","1920","1080","","","","","","","","",""
"694"," ","psychophysics","7","89168","0.0-5.0-0.0-1.1-0.1","58","1","2023-01-30 13:43:14","d54bc09410e8fd1e661d043dc9237913","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","24.837959183673423","960","536","calibration-stimulus","{""x"":0,""y"":0}","0","1","1920","1080","","","","","","","","",""
"607"," ","psychophysics","8","90329","0.0-5.0-0.0-1.2-0.2","58","1","2023-01-30 13:43:14","d54bc09410e8fd1e661d043dc9237913","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","25.00739130434775","960","536","calibration-stimulus","{""x"":-411,""y"":0}","0","2","1920","1080","","","","","","","","",""
"738"," ","psychophysics","9","91620","0.0-5.0-0.0-1.3-0.3","58","1","2023-01-30 13:43:14","d54bc09410e8fd1e661d043dc9237913","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","25.008000000000173","960","536","calibration-stimulus","{""x"":-411,""y"":405}","0","3","1920","1080","","","","","","","","",""
"781"," ","psychophysics","10","92953","0.0-5.0-0.0-1.4-0.4","58","1","2023-01-30 13:43:14","d54bc09410e8fd1e661d043dc9237913","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","24.535471698113295","960","536","calibration-stimulus","{""x"":411,""y"":405}","0","4","1920","1080","","","","","","","","",""
"794"," ","psychophysics","11","94335","0.0-5.0-0.0-1.5-0.5","58","1","2023-01-30 13:43:14","d54bc09410e8fd1e661d043dc9237913","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","24.553090909090876","960","536","calibration-stimulus","{""x"":411,""y"":0}","0","5","1920","1080","","","","","","","","",""
"846"," ","psychophysics","12","95736","0.0-5.0-0.0-1.6-0.6","58","1","2023-01-30 13:43:14","d54bc09410e8fd1e661d043dc9237913","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","24.856727272727454","960","536","calibration-stimulus","{""x"":411,""y"":-405}","0","6","1920","1080","","","","","","","","",""
"800"," ","psychophysics","13","97090","0.0-5.0-0.0-1.7-0.7","58","1","2023-01-30 13:43:14","d54bc09410e8fd1e661d043dc9237913","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","24.850943396226526","960","536","calibration-stimulus","{""x"":-411,""y"":-405}","0","7","1920","1080","","","","","","","","",""
