"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","load_time","success","jspsych_start_time","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response_type","key_press","avg_frame_time","center_x","center_y","rastoc-type","stimulus-coordinate","calibration-id","calibration-point-id","inner-width","inner-height","webgazer_data","webgazer_targets","session-id","validation-id","tracked-trial-id","trial-tag","start-x","start-y","events"
"55619","{""name-id"":""Gustavo"",""webcam-id"":""4"",""computer-id"":""3"",""web-browser"":""Firefox"",""operating-system"":""Ubuntu 20""}","survey-html-form","0","55622","0.0-0.0","31","1","2023-01-25 20:52:27","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","webgazer-init-camera","1","89051","0.0-1.0","31","1","2023-01-25 20:52:27","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","5543","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","fullscreen","2","94271","0.0-2.0","31","1","2023-01-25 20:52:27","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","events-tracking-start","3","94272","0.0-3.0","31","1","2023-01-25 20:52:27","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","2023-01-25T20:52:30.671Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44381","","virtual-chinrest","4","138654","0.0-4.0","31","1","2023-01-25 20:52:27","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","85.6","53.98","344","4.02","582.52","8.404383830140619","40.9310196859779","46.908188819389494","26.385856210906592","","","","","","","","","","","","","","","","","","","","",""
"9423","0","html-button-response","5","148080","0.0-5.0-0.0-0.0","31","1","2023-01-25 20:52:27","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","
        <h3>Calibration Session</h3>

        Sit comfortably, from now on try to keep your head as still as
        possible.
        <br>
        <br>
        
        Next you will see a <b>series of markers</b> in the screen.
        <br>

        As they appear <b>fix your gaze</b> on them.
        <br>

        Once they turn orange, press the <b>space bar</b>.
        <br>
      ","","","","","","","","","","","","","","","","","","","",""
"752"," ","psychophysics","6","149390","0.0-5.0-0.0-1.0-0.0","31","1","2023-01-25 20:52:27","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","26.008399999999675","960","536","calibration-stimulus","{""x"":409,""y"":-405}","0","0","1920","1080","","","","","","","","",""
"790"," ","psychophysics","7","150732","0.0-5.0-0.0-1.1-0.1","31","1","2023-01-25 20:52:27","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","24.535849056603663","960","536","calibration-stimulus","{""x"":0,""y"":405}","0","1","1920","1080","","","","","","","","",""
"680"," ","psychophysics","8","151965","0.0-5.0-0.0-1.2-0.2","31","1","2023-01-25 20:52:27","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","24.496326530612386","960","536","calibration-stimulus","{""x"":409,""y"":0}","0","2","1920","1080","","","","","","","","",""
"779"," ","psychophysics","9","153330","0.0-5.0-0.0-1.3-0.3","31","1","2023-01-25 20:52:27","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","24.24909090909112","960","536","calibration-stimulus","{""x"":-409,""y"":-405}","0","3","1920","1080","","","","","","","","",""
"818"," ","psychophysics","10","154701","0.0-5.0-0.0-1.4-0.4","31","1","2023-01-25 20:52:27","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","24.249454545454565","960","536","calibration-stimulus","{""x"":-409,""y"":0}","0","4","1920","1080","","","","","","","","",""
"858"," ","psychophysics","11","156125","0.0-5.0-0.0-1.5-0.5","31","1","2023-01-25 20:52:27","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","24.018305084745545","960","536","calibration-stimulus","{""x"":0,""y"":0}","0","5","1920","1080","","","","","","","","",""
"784"," ","psychophysics","12","157461","0.0-5.0-0.0-1.6-0.6","31","1","2023-01-25 20:52:27","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","24.85018867924524","960","536","calibration-stimulus","{""x"":409,""y"":405}","0","6","1920","1080","","","","","","","","",""
"665"," ","psychophysics","13","158701","0.0-5.0-0.0-1.7-0.7","31","1","2023-01-25 20:52:27","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","24.007999999999882","960","536","calibration-stimulus","{""x"":-409,""y"":405}","0","7","1920","1080","","","","","","","","",""
"593"," ","psychophysics","14","159877","0.0-5.0-0.0-1.8-0.8","31","1","2023-01-25 20:52:27","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","24.312083333332946","960","536","calibration-stimulus","{""x"":0,""y"":-405}","0","8","1920","1080","","","","","","","","",""
"703"," ","psychophysics","15","161153","0.0-5.0-0.0-1.9-0.9","31","1","2023-01-25 20:52:27","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","24.67439999999944","960","536","calibration-stimulus","{""x"":409,""y"":-405}","0","9","1920","1080","","","","","","","","",""
"970"," ","psychophysics","16","162685","0.0-5.0-0.0-1.10-0.10","31","1","2023-01-25 20:52:27","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","23.817777777778073","960","536","calibration-stimulus","{""x"":0,""y"":405}","0","10","1920","1080","","","","","","","","",""
"765"," ","psychophysics","17","164018","0.0-5.0-0.0-1.11-0.11","31","1","2023-01-25 20:52:27","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","23.64436363636368","960","536","calibration-stimulus","{""x"":409,""y"":0}","0","11","1920","1080","","","","","","","","",""
"738"," ","psychophysics","18","165342","0.0-5.0-0.0-1.12-0.12","31","1","2023-01-25 20:52:27","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","24.388518518518712","960","536","calibration-stimulus","{""x"":-409,""y"":-405}","0","12","1920","1080","","","","","","","","",""
"840"," ","psychophysics","19","166734","0.0-5.0-0.0-1.13-0.13","31","1","2023-01-25 20:52:27","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","23.690877192982537","960","536","calibration-stimulus","{""x"":-409,""y"":0}","0","13","1920","1080","","","","","","","","",""
"1406"," ","psychophysics","20","168693","0.0-5.0-0.0-1.14-0.14","31","1","2023-01-25 20:52:27","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","23.787317073170705","960","536","calibration-stimulus","{""x"":0,""y"":0}","0","14","1920","1080","","","","","","","","",""
"1000"," ","psychophysics","21","170285","0.0-5.0-0.0-1.15-0.15","31","1","2023-01-25 20:52:27","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","27.201052631578804","960","536","calibration-stimulus","{""x"":409,""y"":405}","0","15","1920","1080","","","","","","","","",""
"753"," ","psychophysics","22","171597","0.0-5.0-0.0-1.16-0.16","31","1","2023-01-25 20:52:27","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","25.007307692307783","960","536","calibration-stimulus","{""x"":-409,""y"":405}","0","16","1920","1080","","","","","","","","",""
"1001"," ","psychophysics","23","173153","0.0-5.0-0.0-1.17-0.17","31","1","2023-01-25 20:52:27","8250564b3bfde663ef6456354891c013","157.92.27.254","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0","","Firefox","109.0","Ubuntu","","","","","","","","","","","","","","","key"," ","24.470322580645217","960","536","calibration-stimulus","{""x"":0,""y"":-405}","0","17","1920","1080","","","","","","","","",""
