"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","load_time","success","jspsych_start_time","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response_type","key_press","avg_frame_time","center_x","center_y","rastoc-type","stimulus-coordinate","calibration-id","calibration-point-id","inner-width","inner-height","webgazer_data","webgazer_targets","session-id","validation-id","tracked-trial-id","trial-tag","start-x","start-y","events"
"21622","{""name-id"":""Gustavo"",""webcam-id"":""4"",""computer-id"":""3"",""web-browser"":""Opera"",""operating-system"":""Ubuntu""}","survey-html-form","0","21628","0.0-0.0","61","1","2023-01-30 16:06:08","d54bc09410e8fd1e661d043dc9237913","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 OPR/94.0.0.0","WebKit","Opera","94.0.0.0","Linux","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","webgazer-init-camera","1","80658","0.0-1.0","61","1","2023-01-30 16:06:08","d54bc09410e8fd1e661d043dc9237913","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 OPR/94.0.0.0","WebKit","Opera","94.0.0.0","Linux","","2688","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","fullscreen","2","82472","0.0-2.0","61","1","2023-01-30 16:06:08","d54bc09410e8fd1e661d043dc9237913","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 OPR/94.0.0.0","WebKit","Opera","94.0.0.0","Linux","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","events-tracking-start","3","82473","0.0-3.0","61","1","2023-01-30 16:06:08","d54bc09410e8fd1e661d043dc9237913","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 OPR/94.0.0.0","WebKit","Opera","94.0.0.0","Linux","","","","2023-01-30T16:06:09.351Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38947","","virtual-chinrest","4","121422","0.0-4.0","61","1","2023-01-30 16:06:08","d54bc09410e8fd1e661d043dc9237913","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 OPR/94.0.0.0","WebKit","Opera","94.0.0.0","Linux","","","","","85.6","53.98","346","4.04","586.65","8.345426919613805","41.45983223300595","46.30988348456216","26.025189729084673","","","","","","","","","","","","","","","","","","","","",""
"1234","0","html-button-response","5","122660","0.0-5.0-0.0-0.0","61","1","2023-01-30 16:06:08","d54bc09410e8fd1e661d043dc9237913","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 OPR/94.0.0.0","WebKit","Opera","94.0.0.0","Linux","","","","","","","","","","","","","","
        <h3>Calibration Session</h3>

        Sit comfortably, from now on try to keep your head as still as
        possible.
        <br>
        <br>
        
        Next you will see a <b>series of markers</b> in the screen.
        <br>

        As they appear <b>fix your gaze</b> on them.
        <br>

        Once they turn orange, press the <b>space bar</b>.
        <br>
      ","","","","","","","","","","","","","","","","","","","",""
"1402"," ","psychophysics","6","124684","0.0-5.0-0.0-1.0-0.0","61","1","2023-01-30 16:06:08","d54bc09410e8fd1e661d043dc9237913","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 OPR/94.0.0.0","WebKit","Opera","94.0.0.0","Linux","","","","","","","","","","","","","","","key"," ","17.38436206896548","960","535.5","calibration-stimulus","{""x"":-415,""y"":-405}","0","0","1920","1079","","","","","","","","",""
"1584"," ","psychophysics","7","126822","0.0-5.0-0.0-1.1-0.1","61","1","2023-01-30 16:06:08","d54bc09410e8fd1e661d043dc9237913","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 OPR/94.0.0.0","WebKit","Opera","94.0.0.0","Linux","","","","","","","","","","","","","","","key"," ","17.072487804878147","960","535.5","calibration-stimulus","{""x"":415,""y"":0}","0","1","1920","1079","","","","","","","","",""
"1077"," ","psychophysics","8","128477","0.0-5.0-0.0-1.2-0.2","61","1","2023-01-30 16:06:08","d54bc09410e8fd1e661d043dc9237913","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 OPR/94.0.0.0","WebKit","Opera","94.0.0.0","Linux","","","","","","","","","","","","","","","key"," ","16.837814432989653","960","535.5","calibration-stimulus","{""x"":0,""y"":0}","0","2","1920","1079","","","","","","","","",""
"914"," ","psychophysics","9","129950","0.0-5.0-0.0-1.3-0.3","61","1","2023-01-30 16:06:08","d54bc09410e8fd1e661d043dc9237913","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 OPR/94.0.0.0","WebKit","Opera","94.0.0.0","Linux","","","","","","","","","","","","","","","key"," ","17.254211764705797","960","535.5","calibration-stimulus","{""x"":-415,""y"":405}","0","3","1920","1079","","","","","","","","",""
