"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","load_time","success","jspsych_start_time","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response_type","key_press","avg_frame_time","center_x","center_y","rastoc-type","stimulus-coordinate","calibration-id","calibration-point-id","inner-width","inner-height","webgazer_data","webgazer_targets","session-id","validation-id","tracked-trial-id","trial-tag","start-x","start-y","events"
"7788","{""webcam-id"":""1"",""computer-id"":""1"",""web-browser"":""1"",""operating-system"":""1""}","survey-html-form","0","7795","0.0-0.0","7","1","2022-12-16 17:18:34","9ec2e080c66723ccc34066afc757b299","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","webgazer-init-camera","1","11427","0.0-1.0","7","1","2022-12-16 17:18:34","9ec2e080c66723ccc34066afc757b299","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","419","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","fullscreen","2","13447","0.0-2.0","7","1","2022-12-16 17:18:34","9ec2e080c66723ccc34066afc757b299","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","events-tracking-start","3","13448","0.0-3.0","7","1","2022-12-16 17:18:34","9ec2e080c66723ccc34066afc757b299","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","2022-12-16T17:18:35.240Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13200","","virtual-chinrest","4","26650","0.0-4.0","7","1","2022-12-16 17:18:34","9ec2e080c66723ccc34066afc757b299","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","85.6","53.98","362","4.23","192.02","25.130902250414472","14.404576341624571","133.2909732618668","74.97617245980008","","","","","","","","","","","","","","","","","","","","",""
"1683","0","html-button-response","5","28337","0.0-5.0-0.0-0.0","7","1","2022-12-16 17:18:34","9ec2e080c66723ccc34066afc757b299","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","","","","","","","","","","
        <h3>Calibration Session</h3>

        Sit comfortably, from now on try to keep your head as still as
        possible.
        <br>
        <br>
        
        Next you will see a <b>series of markers</b> in the screen.
        <br>

        As they appear <b>fix your gaze</b> on them.
        <br>

        Once they turn orange, press the <b>space bar</b>.
        <br>
      ","","","","","","","","","","","","","","","","","","","",""
"316"," ","psychophysics","6","29293","0.0-5.0-0.0-1.0-0.0","7","1","2022-12-16 17:18:34","9ec2e080c66723ccc34066afc757b299","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","","","","","","","","","","","key"," ","18.633078431372553","960","536","calibration-stimulus","{""x"":-144,""y"":0}","0","0","1920","1080","","","","","","","","",""
"27"," ","psychophysics","7","29886","0.0-5.0-0.0-1.1-0.1","7","1","2022-12-16 17:18:34","9ec2e080c66723ccc34066afc757b299","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","","","","","","","","","","","key"," ","18.28487096774188","960","536","calibration-stimulus","{""x"":0,""y"":144}","0","1","1920","1080","","","","","","","","",""
"28"," ","psychophysics","8","30487","0.0-5.0-0.0-1.2-0.2","7","1","2022-12-16 17:18:34","9ec2e080c66723ccc34066afc757b299","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","","","","","","","","","","","key"," ","17.682000000000038","960","536","calibration-stimulus","{""x"":144,""y"":-144}","0","2","1920","1080","","","","","","","","",""
"103"," ","psychophysics","9","31144","0.0-5.0-0.0-1.3-0.3","7","1","2022-12-16 17:18:34","9ec2e080c66723ccc34066afc757b299","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","","","","","","","","","","","key"," ","18.060749999999945","960","536","calibration-stimulus","{""x"":-144,""y"":144}","0","3","1920","1080","","","","","","","","",""
"162"," ","psychophysics","10","31871","0.0-5.0-0.0-1.4-0.4","7","1","2022-12-16 17:18:34","9ec2e080c66723ccc34066afc757b299","157.92.27.254","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Linux","","","","","","","","","","","","","","","key"," ","17.50500000000011","960","536","calibration-stimulus","{""x"":0,""y"":-144}","0","4","1920","1080","","","","","","","","",""
