"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","load_time","success","jspsych_start_time","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response_type","key_press","avg_frame_time","center_x","center_y","rastoc-type","stimulus-coordinate","calibration-id","calibration-point-id","inner-width","inner-height","webgazer_data","webgazer_targets","session-id","validation-id","tracked-trial-id","trial-tag","start-x","start-y","events"
"30224","{""webcam-id"":""3"",""computer-id"":""3"",""web-browser"":""Chrome"",""operating-system"":""Ubuntu 20.04""}","survey-html-form","0","30228","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","webgazer-init-camera","1","46985","0.0-1.0","1831","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","fullscreen","2","50819","0.0-2.0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","events-tracking-start","3","50820","0.0-3.0","","","2022-11-09T14:15:44.293Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86535","","virtual-chinrest","4","137356","0.0-4.0","","","","85.6","53.98","344","4.02","586.22","8.351526753164045","41.19007340420394","46.61317257579932","26.219909573887115","","","","","","","","","","","","","","","","","","","","",""
"9361","0","html-button-response","5","146720","0.0-5.0-0.0-0.0","","","","","","","","","","","","","
        <h3>Calibration Session</h3>

        Sit comfortably, from now on try to keep your head as still as
        possible.
        <br>
        <br>
        
        Next you will see a <b>series of markers</b> in the screen.
        <br>

        As they appear <b>fix your gaze</b> on them.
        <br>

        Once they turn orange, press the <b>space bar</b>.
        <br>
      ","","","","","","","","","","","","","","","","","","","",""
"720"," ","psychophysics","6","148047","0.0-5.0-0.0-1.0-0.0","","","","","","","","","","","","","","key"," ","17.32996052631566","960","536","calibration-stimulus","{""x"":412,""y"":0}","0","0","1920","1080","","","","","","","","",""
"845"," ","psychophysics","7","149458","0.0-5.0-0.0-1.1-0.1","","","","","","","","","","","","","","key"," ","17.083271604938215","960","536","calibration-stimulus","{""x"":0,""y"":-405}","0","1","1920","1080","","","","","","","","",""
"729"," ","psychophysics","8","150742","0.0-5.0-0.0-1.2-0.2","","","","","","","","","","","","","","key"," ","17.12241891891903","960","536","calibration-stimulus","{""x"":412,""y"":-405}","0","2","1920","1080","","","","","","","","",""
"845"," ","psychophysics","9","152156","0.0-5.0-0.0-1.3-0.3","","","","","","","","","","","","","","key"," ","17.078231707317173","960","536","calibration-stimulus","{""x"":0,""y"":0}","0","3","1920","1080","","","","","","","","",""
"680"," ","psychophysics","10","153408","0.0-5.0-0.0-1.4-0.4","","","","","","","","","","","","","","key"," ","16.90020547945201","960","536","calibration-stimulus","{""x"":-412,""y"":-405}","0","4","1920","1080","","","","","","","","",""
"820"," ","psychophysics","11","154783","0.0-5.0-0.0-1.5-0.5","","","","","","","","","","","","","","key"," ","16.877493827160734","960","536","calibration-stimulus","{""x"":0,""y"":405}","0","5","1920","1080","","","","","","","","",""
"762"," ","psychophysics","12","156109","0.0-5.0-0.0-1.6-0.6","","","","","","","","","","","","","","key"," ","16.88809090909093","960","536","calibration-stimulus","{""x"":-412,""y"":0}","0","6","1920","1080","","","","","","","","",""
"777"," ","psychophysics","13","157440","0.0-5.0-0.0-1.7-0.7","","","","","","","","","","","","","","key"," ","16.885538461538278","960","536","calibration-stimulus","{""x"":412,""y"":405}","0","7","1920","1080","","","","","","","","",""
"785"," ","psychophysics","14","158799","0.0-5.0-0.0-1.8-0.8","","","","","","","","","","","","","","key"," ","16.880025000000025","960","536","calibration-stimulus","{""x"":-412,""y"":405}","0","8","1920","1080","","","","","","","","",""
"797"," ","psychophysics","15","160160","0.0-5.0-0.0-1.9-0.9","","","","","","","","","","","","","","key"," ","16.88288607594927","960","536","calibration-stimulus","{""x"":412,""y"":0}","0","9","1920","1080","","","","","","","","",""
"760"," ","psychophysics","16","161476","0.0-5.0-0.0-1.10-0.10","","","","","","","","","","","","","","key"," ","16.888077922078082","960","536","calibration-stimulus","{""x"":0,""y"":-405}","0","10","1920","1080","","","","","","","","",""
"832"," ","psychophysics","17","162864","0.0-5.0-0.0-1.11-0.11","","","","","","","","","","","","","","key"," ","16.875012195122174","960","536","calibration-stimulus","{""x"":412,""y"":-405}","0","11","1920","1080","","","","","","","","",""
"840"," ","psychophysics","18","164255","0.0-5.0-0.0-1.12-0.12","","","","","","","","","","","","","","key"," ","16.877419753086375","960","536","calibration-stimulus","{""x"":0,""y"":0}","0","12","1920","1080","","","","","","","","",""
"896"," ","psychophysics","19","165713","0.0-5.0-0.0-1.13-0.13","","","","","","","","","","","","","","key"," ","16.867788235293975","960","536","calibration-stimulus","{""x"":-412,""y"":-405}","0","13","1920","1080","","","","","","","","",""
"1093"," ","psychophysics","20","167380","0.0-5.0-0.0-1.14-0.14","","","","","","","","","","","","","","key"," ","17.015505154639335","960","536","calibration-stimulus","{""x"":0,""y"":405}","0","14","1920","1080","","","","","","","","",""
"1028"," ","psychophysics","21","168963","0.0-5.0-0.0-1.15-0.15","","","","","","","","","","","","","","key"," ","16.85092473118278","960","536","calibration-stimulus","{""x"":-412,""y"":0}","0","15","1920","1080","","","","","","","","",""
"829"," ","psychophysics","22","170346","0.0-5.0-0.0-1.16-0.16","","","","","","","","","","","","","","key"," ","17.088437500000147","960","536","calibration-stimulus","{""x"":412,""y"":405}","0","16","1920","1080","","","","","","","","",""
"879"," ","psychophysics","23","171797","0.0-5.0-0.0-1.17-0.17","","","","","","","","","","","","","","key"," ","16.867882352941397","960","536","calibration-stimulus","{""x"":-412,""y"":405}","0","17","1920","1080","","","","","","","","",""
"18508"," ","html-keyboard-response","24","190366","0.0-5.0-1.0","","","","","","","","","","","","","
      <h3>Experimentation Session (1 / 8)</h3>
      8 times you will see a series of stimulus in the same
      positions in which you just calibrated.
      Fix your gaze on them as they appear.
      <br>

      A central cross will appear in between each pair of series.
      While this cross is present you can rest your gaze and blink.
      <br>

      Press the space bar to start.
        ","","","","","","","","","","","","","","","","","","","",""
